[ 2026-09-07 01:19:33,440 ] 846 docling.datamodel.document - INFO - detected formats: [<InputFormat.PDF: 'pdf'>]
[ 2026-09-07 01:19:35,149 ] 746 docling.document_converter - INFO - Going to convert document batch...
[ 2026-09-07 01:19:35,151 ] 791 docling.document_converter - INFO - Initializing pipeline for StandardPdfPipeline with options hash ccfa22da48b8021a6f69da6a785b2a16
[ 2026-09-07 01:19:35,174 ] 115 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[ 2026-09-07 01:19:35,179 ] 107 docling.models.factories.base_factory - WARNING - The plugin langchain_docling will not be loaded because Docling is being executed with allow_external_plugins=false.
[ 2026-09-07 01:19:35,179 ] 31 docling.models.factories - INFO - Registered picture descriptions: ['picture_description_vlm_engine', 'vlm', 'api']
[ 2026-09-07 01:19:35,196 ] 115 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[ 2026-09-07 01:19:35,217 ] 107 docling.models.factories.base_factory - WARNING - The plugin langchain_docling will not be loaded because Docling is being executed with allow_external_plugins=false.
[ 2026-09-07 01:19:35,217 ] 21 docling.models.factories - INFO - Registered ocr engines: ['auto', 'easyocr', 'kserve_v2_ocr', 'nemotron-ocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
[ 2026-09-07 01:19:35,407 ] 136 docling.utils.accelerator_utils - INFO - Accelerator device: 'cpu'
[ 2026-09-07 01:19:37,759 ] 115 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[ 2026-09-07 01:19:37,767 ] 107 docling.models.factories.base_factory - WARNING - The plugin langchain_docling will not be loaded because Docling is being executed with allow_external_plugins=false.
[ 2026-09-07 01:19:37,768 ] 39 docling.models.factories - INFO - Registered layout engines: ['layout_object_detection', 'docling_layout_default', 'docling_experimental_table_crops_layout']
[ 2026-09-07 01:19:37,770 ] 124 docling.models.inference_engines.object_detection.transformers_engine - INFO - Initializing Transformers object-detection engine
[ 2026-09-07 01:19:37,770 ] 57 docling.models.inference_engines.common.hf_vision_base - INFO - Downloading object-detection model from HuggingFace: docling-project/docling-layout-heron@main
[ 2026-09-07 01:19:37,770 ] 32 docling.models.utils.hf_model_download - INFO - Fetching model docling-project/docling-layout-heron (revision: main)...
[ 2026-09-07 01:19:37,891 ] 1025 httpx - INFO - HTTP Request: GET https://huggingface.co/api/agent-harnesses "HTTP/1.1 200 OK"
[ 2026-09-07 01:19:37,937 ] 1025 httpx - INFO - HTTP Request: GET https://huggingface.co/api/models/docling-project/docling-layout-heron/revision/main "HTTP/1.1 200 OK"
[ 2026-09-07 01:19:37,953 ] 43 docling.models.utils.hf_model_download - INFO - Model docling-project/docling-layout-heron already cached at C:\Users\DELL_5411_L56AAJ9\.cache\huggingface\hub\models--docling-project--docling-layout-heron\snapshots\8f39ad3c0b4c58e9c2d2c84a38465abf757272d8
[ 2026-09-07 01:19:37,954 ] 136 docling.utils.accelerator_utils - INFO - Accelerator device: 'cpu'
[ 2026-09-07 01:19:38,805 ] 198 docling.models.inference_engines.object_detection.transformers_engine - INFO - Transformers engine ready (device=cpu, dtype=torch.float32)
[ 2026-09-07 01:19:38,827 ] 115 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[ 2026-09-07 01:19:38,832 ] 107 docling.models.factories.base_factory - WARNING - The plugin langchain_docling will not be loaded because Docling is being executed with allow_external_plugins=false.
[ 2026-09-07 01:19:38,833 ] 49 docling.models.factories - INFO - Registered table structure engines: ['docling_tableformer', 'docling_tableformer_v2', 'granite_vision_table']
